received,answered,sent,node degree,latency,hops
100,50,150,2,44.0,0
700,500,300,5,1183.0,4
220.0,95.0,220.0,3.4,379.2464,1.6176
156.81784571500106,136.37059351454846,40.40610178208843,0.8081220356417685,254.51751954264694,0.8748007490510145
