received,answered,sent,node degree,latency,hops
100,50,150,2,32.0,0
550,300,300,5,653.0,3
250.0,91.66666666666667,250.0,4.0,271.1302,1.346
124.56821978060995,94.76225544736293,50.85476277156078,1.0170952554312156,180.46799139335417,0.789776154766313
